node,role
20019,role_0
20036,role_0
20037,role_1
20038,role_1
20039,role_0
20067,role_0
20068,role_0
20070,role_0
20072,role_0
20074,role_0
20090,role_0
20099,role_0
20102,role_0
20115,role_0
20121,role_0
20126,role_0
20131,role_0
20132,role_0
20141,role_0
20147,role_1
20152,role_0
20156,role_0
20170,role_0
20188,role_1
20195,role_0
20201,role_0
20207,role_0
20208,role_0
20216,role_0
20219,role_0
20237,role_0
20253,role_1
20255,role_0
20280,role_0
20281,role_0
20288,role_0
20291,role_0
20304,role_0
20325,role_0
20335,role_0
20345,role_1
20361,role_0
20364,role_0
20381,role_0
20411,role_0
20413,role_1
20433,role_0
20450,role_0
20495,role_1
20531,role_0
20554,role_1
20559,role_1
20570,role_0
20575,role_0
20578,role_0
20580,role_0
20588,role_0
20592,role_0
20607,role_0
20629,role_0
20639,role_0
20674,role_0
20686,role_0
20702,role_0
20721,role_0
20728,role_0
20732,role_0
20735,role_0
20741,role_0
20750,role_0
20756,role_0
20757,role_0
20762,role_0
20786,role_0
20795,role_1
20815,role_0
20839,role_0
20847,role_0
20851,role_0
20856,role_0
20868,role_1
20876,role_0
20880,role_1
20883,role_0
20888,role_1
20910,role_0
20921,role_0
20924,role_1
20931,role_1
20933,role_0
20941,role_0
20949,role_0
20950,role_0
20972,role_0
20975,role_0
20977,role_1
20997,role_1
21010,role_0
21017,role_0
21022,role_0
21026,role_0
21028,role_1
21031,role_0
21032,role_0
21039,role_0
21047,role_0
21057,role_0
21058,role_0
21061,role_0
21086,role_0
21110,role_0
21120,role_0
21121,role_0
21135,role_0
21165,role_0
21197,role_0
21198,role_1
21205,role_0
21212,role_0
21218,role_0
21220,role_0
21227,role_0
21244,role_0
21250,role_1
21263,role_0
21268,role_0
21323,role_1
21325,role_0
21326,role_0
21343,role_2
21345,role_0
21350,role_0
21355,role_0
21370,role_0
21393,role_0
21407,role_0
21420,role_0
21453,role_0
21459,role_1
21466,role_0
21488,role_0
21490,role_0
21510,role_0
21512,role_0
21513,role_0
21527,role_0
21565,role_0
21570,role_0
21574,role_0
21599,role_0
21605,role_0
21612,role_0
21623,role_0
21630,role_1
21647,role_0
21664,role_0
21666,role_0
21674,role_0
21690,role_0
21698,role_0
21701,role_1
21702,role_0
21710,role_0
21748,role_0
21755,role_1
21763,role_0
21768,role_0
21781,role_1
21786,role_0
21793,role_0
21802,role_0
21833,role_0
21855,role_0
21857,role_1
21875,role_0
21882,role_0
21891,role_0
21892,role_0
21905,role_1
21915,role_1
21978,role_0
21980,role_0
21981,role_0
21991,role_0
21997,role_0
22000,role_1
22010,role_0
22011,role_0
22015,role_0
22025,role_2
22026,role_0
22027,role_0
22036,role_1
22038,role_0
22047,role_0
22051,role_0
22057,role_0
22061,role_0
22077,role_1
22079,role_0
22097,role_0
22102,role_1
22128,role_0
22129,role_1
22135,role_0
22169,role_0
22173,role_0
22183,role_0
22189,role_0
22208,role_0
22226,role_0
22240,role_0
22247,role_0
22258,role_0
22259,role_0
22268,role_0
22278,role_0
22294,role_0
22296,role_0
22297,role_0
22298,role_0
22313,role_0
